# BEAST v1.8.3
# Generated Wed Jul 27 14:30:11 PDT 2016 [seed=1365332436823]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-36179.18971969751	-13355.440222854852	-22823.74949684266	142.98647544873506	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	52.0	52.0	52.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	0.005000000000000008	-22823.74949684266	0.0	-11025.503183570956
25000	-18184.487392842173	-6636.735459431542	-11547.751933410633	235.48090796556627	27468.609101610706	6869.488947710388	1276.6903092358457	2319.6636017825217	1891.7791628662208	810.3554084193164	1158.0656603024083	563.4729522771154	871.7533786075571	333.33379168031047	22.0	36.0	30.0	73.0	69.0	61.0	77.0	43.0	52.0	50.0	5.387589636649683	0.26598872163161114	0.22921161730934375	0.23974551758904564	0.26505414346999934	6.0418292331922304E-5	6.041829233192232E-5	-11547.751933410633	0.0	-4245.2530109350055
50000	-17610.313017706467	-6972.4870759635905	-10637.825941742878	308.5089017689155	126685.11189697628	11810.605949365527	5964.627934999158	4344.983570070422	1898.6093629997813	4765.909829284331	2336.3402700608954	1633.7706856959228	1074.2034359585857	520.7363239219799	18.0	37.0	14.0	76.0	81.0	62.0	84.0	52.0	57.0	32.0	6.358397877807673	0.2916269857170278	0.21358513786983982	0.2347715418294115	0.2600163345837208	2.5434739367563993E-5	2.5434739367563997E-5	-10637.825941742878	0.0	-4571.974895357042
75000	-17222.409448695165	-7052.091582945576	-10170.317865749588	176.62406287313416	177411.9782832806	15361.038358108	18246.995824620375	9016.1575753966	2486.6063500051937	5620.867120703839	3453.7367015556847	1334.4218516381543	1606.2064512443515	133.3878479266477	21.0	4.0	20.0	75.0	75.0	73.0	77.0	52.0	75.0	41.0	6.112958957908698	0.3197662766038403	0.2024835902240798	0.22139526595501507	0.2563548672170647	2.0110640851078898E-5	2.0110640851078874E-5	-10170.317865749588	0.0	-4647.842876853916
100000	-16804.76049624483	-6859.818534685283	-9944.941961559547	137.71252332057034	83847.82416890112	3067.80587442543	11531.605153196919	7924.691791898737	4634.599417337684	3506.5363319129538	1161.974970522952	958.4031443434867	1202.409340054127	44.74446602894405	22.0	6.0	7.0	71.0	89.0	70.0	72.0	43.0	86.0	47.0	6.07620700929691	0.3526212347287575	0.17019674687977776	0.20533533525959427	0.2718466831318705	2.734782193951478E-5	2.7347821939514705E-5	-9944.941961559547	0.0	-4459.1560616728075
125000	-16680.087389786633	-7026.081673835468	-9654.005715951163	219.45256421694344	109870.50846086978	20486.247310697134	11333.631510080702	11200.197623953663	5590.157960466185	8676.217080594493	2214.355684542576	881.9193157267426	2245.937826077991	64.78966817597293	25.0	6.0	9.0	59.0	76.0	75.0	71.0	52.0	91.0	49.0	7.526108372920512	0.3622239292645491	0.17891051769087027	0.20868851792935128	0.25017703511522926	1.9127239861406668E-5	1.9127239861406675E-5	-9654.005715951163	0.0	-4621.296539164989
150000	-16634.70129727719	-7079.7805781719935	-9554.9207191052	230.0754469373826	210414.48450280385	210418.13642628054	48567.437648915955	29154.538102085866	10471.16752483058	4343.424105175618	3914.867312545372	1195.5436242457604	2240.23027845714	69.04383745724314	14.0	1.0	1.0	61.0	87.0	71.0	62.0	71.0	94.0	51.0	6.753472302265919	0.35684099375227374	0.18088552709703593	0.20023837352977134	0.26203510562091886	1.5371238366340056E-5	1.5371238366340086E-5	-9554.9207191052	0.0	-4669.614264492913
175000	-16412.905938302036	-7096.445420764321	-9316.460517537713	205.15112439715622	124201.99458096367	180768.71115171377	38491.34866832747	21791.177673387327	7799.311916416703	4878.755387496053	3362.912614123132	1265.4364566331083	2075.096868397815	62.8936213175447	20.0	1.0	8.0	50.0	81.0	85.0	69.0	65.0	89.0	45.0	6.992577120277175	0.3723965729678968	0.1680645088790901	0.20531235270616835	0.25422656544684463	1.5799241122141157E-5	1.579924112214115E-5	-9316.460517537713	0.0	-4688.066355877958
200000	-15958.493793127429	-6790.366540291198	-9168.12725283623	108.59471374008999	47102.46126385713	72663.43949773427	75764.41687173577	15181.954871565007	3708.1753379687552	1937.674326449202	1963.4239434995718	862.5272626701799	1231.0914904140664	31.155224595839695	15.0	3.0	12.0	54.0	90.0	80.0	66.0	72.0	73.0	48.0	8.26538239278315	0.36200728288473644	0.18763772820970362	0.19749125934565356	0.25286372955990644	2.7674116481876305E-5	2.7674116481876275E-5	-9168.12725283623	0.0	-4386.851314197439
225000	-15488.03198409063	-6383.238307788047	-9104.793676302585	44.51916186285308	173018.37021564553	155238.18184977485	56380.11094546276	10767.92322050628	2211.4990366705506	1148.1389911753568	660.6667956339811	450.36203535783653	445.9549952232887	12.391531190926422	4.0	1.0	7.0	52.0	90.0	75.0	87.0	68.0	85.0	44.0	7.943832799623637	0.36719596174573815	0.18309437112487753	0.20205548685745475	0.24765418027192956	5.5750761351221E-5	5.575076135122109E-5	-9104.793676302585	0.0	-3982.869605710268
